film_id;titre;genre_principale;genres;date_sortie_france;date_sortie_usa;duree_minutes;synopsis;realisateur;acteurs;pays_origine;budget;box_office_demarrage;box_office_france;recette_usa;recette_monde;image_url;note_moyenne
11106;Kerity, la maison des contes;Animation;;16/12/2009;00/00/0000;20;Natanaël a bientôt 7 ans mais il ne sait toujours pas lire...  Lorsque sa tante Eléonore lui lègue sa bibliothèque contenant des centaines de livres, Natanaël est très déçu !  Pourtant chacun de ces contes va livrer un merveilleux secret : à la nuit tombée les petits héros, la délicieuse Alice, la méchante fée Carabosse, le terrible capitaine Crochet, sortent des livres...  Ils doivent prévenir Natanaël qu'ils courent un grand danger et risquent de disparaître à jamais.  Pour sauver ses minuscules amis et leurs histoires, Natanaël, rétréci par la Fée Carabosse, se lance dans l'aventure !  Il affrontera vaillamment le très fourbe Ramastou, les crabes géants, l'Ogre affamé...  Arrivera-t-il à temps à lire la formule magique qui les sauvera tous ?  Ce n'est pas parce que c'est inventé que ça n'existe pas !;;Lorant Deutsch | Pierre Richard | Denis Podalydès;;? €;139 803;530 765;- $;1 958 547 $;https://www.jpbox-office.com/cinema/images/posters/11106-20091217081226.jpg;3
10695;Le Sens de la vie pour 9.99$;Animation;;29/04/2009;12/12/2008;18;"Quel est le sens de la vie ? Pourquoi existons-nous ? La réponse à cette question cruciale est enfin à votre portée ! Commandez dès maintenant """"Le Sens de la Vie"""", notre brochure de référence, superbement illustrée et formidablement instructive. Elle est à vous pour seulement 9,99$ """". Cette publicité va bouleverser la vie de Dave Peck, jeune homme au chômage. Il se donne alors pour mission de faire partager sa découverte, en commençant par ses improbables voisins d'immeuble : un vieil homme et son ange gardien râleur, un magicien endetté, une top-model charmeuse allergique aux poils, un étudiant aux prises avec une bande de jeunes alcooliques de 5 cm de haut et un petit garçon qui se lie d'amitié avec son cochon-tirelire. Sauront-ils suivre les préceptes de la fameuse brochure ?";;Geoffrey Rush;;? $;32 804;82 474;52 107 $;629 501 $;https://www.jpbox-office.com/cinema/images/posters/np_10695.jpg;2
10391;Coraline;Animation;;10/06/2009;06/02/2009;40;Une fille découvre une version alternative de son existence après avoir franchi une porte secrète. Un monde merveilleux qui prend une tournure bien plus sombre lorsque ses parents du monde parallèle veulent la garder pour toujours...;;Dakota Fanning;;35 000 000 $;167 353;395 745;75 280 058 $;49 310 169 $;https://www.jpbox-office.com/cinema/images/posters/10391-20090608080605.jpg;4
24318;Limonov, la ballade;Comédie dramatique;;04/12/2024;00/00/0000;13;Militant révolutionnaire, dandy, voyou, majordome ou sans abri, il fut tout à la fois un poète enragé et belliqueux, un agitateur politique et le romancier de sa propre grandeur. La vie d’Edouard Limonov, telle une traînée de soufre, est une ballade à travers les rues agitées de Moscou et les gratte-ciels de New-York, des ruelles de Paris au coeur des geôles de Sibérie pendant la seconde moitié du XXe siècle.;;;;? €;16 490;30 109;- $;356 448 $;https://www.jpbox-office.com/cinema/images/posters/A-2024-24318-20241228114448.jpg;3
19578;La Vie scolaire;Comédie dramatique;;28/08/2019;00/00/0000;51;Une année au coeur de l'école de la république, de la vie... et de la démerde ! Samia, jeune CPE novice, débarque de son Ardèche natale dans un collège réputé difficile de la ville de Saint-Denis. Elle y découvre les problèmes récurrents de discipline, la réalité sociale pesant sur le quartier, mais aussi l'incroyable vitalité et l'humour, tant des élèves que de son équipe de surveillants. Parmi eux, il y a Moussa, le Grand du quartier et Dylan le chambreur. Samia s'adapte et prend bientôt plaisir à canaliser la fougue des plus perturbateurs. Sa situation personnelle compliquée la rapproche naturellement de Yanis, ado vif et intelligent, dont elle a flairé le potentiel. Même si Yanis semble renoncer à toute ambition en se cachant derrière son insolence, Samia va investir toute son énergie à le détourner d'un échec scolaire annoncé et tenter de l'amener à se projeter dans un avenir meilleur...;;Alban Ivanov;;5 300 000 €;485 386;1 812 113;- $;14 152 545 $;https://www.jpbox-office.com/cinema/images/posters/19578-20190815020445-0.jpg;3
10940;Le Temps qu'il reste;Comédie dramatique;;12/08/2009;07/01/2011;45;"The Time That Remains est un film en partie autobiographique, construit en quatre épisodes marquants de la vie d'une famille, ma famille, de 1948 au temps récent.  Ce film est inspiré des carnets personnels de mon père, et commence lorsque celui-ci était un combattant résistant en 1948, et aussi des lettres de ma mère aux membres de sa famille qui furent forcés de quitter le pays.  Mêlant mes souvenirs intimes d'eux et avec eux, le film dresse le portrait de la vie quotidienne de ces palestiniens qui sont restés sur leurs terres natales et ont été étiquetés """"Arabes-Israéliens"""", vivant comme une minorité dans leur propre pays.";;;;? $;58 297;185 630;20 205 $;1 004 636 $;https://www.jpbox-office.com/cinema/images/posters/10940-20090817050830.jpg;2
24341;Les Cadeaux;Comédie;;25/12/2024;00/00/0000;24;Les cadeaux… La plupart d’entre nous les attendent avec impatience. D’autres les redoutent, voire les oublient. A deux jours de Noël, chez les Stain, on redouble d'idées mais elles sont loin d'être toutes bonnes. Et si le pire cadeau était encore à venir ?;;;;;100 213;131 761;;;https://www.jpbox-office.com/cinema/images/posters/A-2024-24341-20241230041433.jpg;3
24117;Un ours dans le Jura;Comédie;;01/01/2025;00/00/0000;52;Michel et Cathy, un couple usé par le temps et les difficultés financières, ne se parle plus vraiment. Jusqu’au jour où Michel, pour éviter un ours sur la route, heurte une voiture et tue les deux occupants. 2 morts et 2 millions en billets usagés dans le coffre, forcément, ça donne envie de se reparler. Et surtout de se taire.;;Laure Calamy | Franck Dubosc | Benoît Poelvoorde;;;452 342;1 473 871;;;https://www.jpbox-office.com/cinema/images/posters/A-2025-24117-20241214055349.jpg;3
24062;Nightbitch;Comédie;;24/01/2025;06/12/2024;38;Après la naissance de son fils, une ancienne artiste reste chez elle et commence à développer la peur de se transformer en chien.;;Amy Adams;;;;;;;https://www.jpbox-office.com/cinema/images/posters/A-2024-24062-20250118125109.jpg;
23717;God Save the Tuche;Comédie;;05/02/2025;00/00/0000;35;Les Tuche mènent à nouveau une vie paisible à Bouzolles. Mais lorsque le petit-fils de Jeff et Cathy est sélectionné pour un stage de football à Londres, c’est l’occasion rêvée pour toute la famille d’aller découvrir l’Angleterre et de rencontrer la famille royale. Entre chocs culturels et maladresses, les Tuche se retrouvent plongés au cœur de la royauté anglaise, qui n’est pas prête d’oublier leur séjour !;;Jean-Paul Rouve;;17 000 000 €;1 086 865;2 985 750;- $;15 378 000 $;https://www.jpbox-office.com/cinema/images/posters/A-2025-23717-20250201122503.jpg;3
24410;Detective Chinatown 1900;Comédie;;08/02/2025;29/01/2025;16;Chinatown, quartier de San Francisco, 1900. Une femme du quartier est assassinée et tous les regards se tournent vers le principal suspect, un Chinois... Entrent en scène le duo de détectives le plus excentrique de Chinatown, réuni par pur hasard pour résoudre l'affaire. Préparez-vous pour le dernier volet de la série de comédie policière la plus rentable de tous les temps !;;Yun-Fat Chow;;? $;-;5 141;2 102 841 $;492 380 000 $;https://www.jpbox-office.com/cinema/images/posters/A-2025-24410-20250201122952.jpg;
24427;Haut les mains;Comédie;;12/02/2025;00/00/0000;27;Les crimes contre la nature les scandalisent, les injustices faites aux femmes les révoltent : les Green Panthères, des Robins des bois d’aujourd'hui, se lancent dans le cambriolage engagé contre les pollueurs et les harceleurs. Mais pour ouvrir le coffre de leur rêve, il leur faudra s’associer à Bernard, un cambrioleur vieillissant pas très à jour sur l’éco-féminisme...;;Vincent Elbaz;;;16 810;20 136;;;https://www.jpbox-office.com/cinema/images/posters/A-2025-24427-20250208100241.jpg;
24474;Avec ou sans enfants ?;Comédie;;19/02/2025;00/00/0000;26;Quand Pio et Anaïs annoncent leur mariage à leurs amis, c’est clair : ce sera SANS enfants. Trois jours de fête et de Prosecco en perspective ! Mais quand leur bande de potes débarque AVEC les enfants, pensant pouvoir les cacher aux mariés, les catastrophes vont (très) vite arriver…;;;;;81 098;148 014;;;https://www.jpbox-office.com/cinema/images/posters/A-2025-24474-20250303100649.jpg;2
24544;Bonjour l’asile;Comédie;;26/02/2025;00/00/0000;47;Jeanne quitte quelques jours le stress de la vie urbaine pour aller voir sa grande amie Elisa, récemment installée à la campagne. Au cœur des bois voisins, un château abandonné devenu tiers-lieu, foisonne d’initiatives collectives. Elisa aimerait s'y investir, mais entre biberons et couches lavables, elle n'en a pas le temps. Jeanne, en militante des villes, n'y voit aucun intérêt. Quant à Amaury, promoteur en hôtellerie de luxe, le château, lui, il veut l'acheter. Tous trois convergent malgré eux vers ce lieu d’entraide et de subversion... Mais combien de temps cet asile d’aujourd’hui pourra-t-il résister à ce monde de fou ?;;;;;15 205;29 117;;;https://www.jpbox-office.com/cinema/images/posters/A-2025-24544-20250329070123.jpg;
24505;Délocalisés;Comédie;;12/03/2025;00/00/0000;26;Le jour où Redouane va obtenir sa promotion et enfin passer contremaître, il apprend que l'usine de matelas où il travaille est délocalisée en Inde. Bien décidé à conserver sa promotion, il accepte de partir tout en ayant la garantie d'être payé double et emmène avec lui Marguerite sa compagne. Une fois sur place, il découvre que son patron l'a dupé, il sera bien payé double mais en roupies. Furieux, il décide de se venger en enseignant aux équipes le meilleur des droits sociaux français : grèves, manifestations et RTT avec pour seul objectif de renverser son patron. Entre choc des cultures et lutte sociale, Redouane mène une révolution inattendue qui pourrait bien changer le destin de l’usine… et le sien.;;;;;118 435;242 968;;;https://www.jpbox-office.com/cinema/images/posters/A-2025-24505-20250313065339.jpg;2
24506;Prosper;Comédie;;19/03/2025;00/00/0000;32;Prosper, chauffeur Uber à côté de ses pompes, prend comme passager un homme mourant qui vient de se faire tirer dessus. Paniqué, Prosper se débarrasse du cadavre tout en lui volant sa paire de bottines en croco. En les portant, Prosper se retrouve habité par l'esprit de l'homme assassiné : King - un gangster respecté et craint de tous. Partagé entre ces deux personnalités que tout oppose, Prosper et King, unis dans un seul corps, enquêtent pour démasquer l'assassin de King.;;;;;30 756;38 210;;;https://www.jpbox-office.com/cinema/images/posters/A-2025-24506-20250314065144.jpg;3
24455;La Cache;Comédie;;19/03/2025;00/00/0000;30;Christophe, 9 ans, vit les événements de mai 68, planqué chez ses grands-parents, dans l’appartement familial à Paris, entouré de ses oncles et de son arrière-grand-mère. Tous bivouaquent autour d’une mystérieuse cache, qui révèlera peu à peu ses secrets…;;Michel Blanc;;;75 543;126 878;;;https://www.jpbox-office.com/cinema/images/posters/A-2025-24455-20250302101007.jpg;
